Epoch,Accuracy,F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.28500000000000003,0.28500000000000003,0.25424652511390106,0.254246525113901,1.960002573500288
1.0,0.33198333333333335,0.33198333333333335,0.31412955016719063,0.31412955016719063,1.8344826192297834
2.0,0.34335000000000004,0.34335000000000004,0.32607434646694256,0.32607434646694244,1.8044169612387395
3.0,0.36785000000000007,0.36784999999999995,0.3556049622227505,0.3556049622227505,1.7623965851804044
4.0,0.37956666666666666,0.37956666666666666,0.36854874464546733,0.3685487446454673,1.7320441736819894
5.0,0.37845,0.37845000000000006,0.3672351186922815,0.36723511869228154,1.7306447546532813
6.0,0.3888999999999999,0.3888999999999999,0.3790089142110032,0.37900891421100324,1.7004095001423614
7.0,0.38683333333333336,0.38683333333333336,0.38021872645835286,0.38021872645835286,1.7043778631281348
8.0,0.39435000000000003,0.39435000000000003,0.38563431424991157,0.38563431424991157,1.68767560301943
9.0,0.40009999999999996,0.40009999999999996,0.38966083534200335,0.38966083534200335,1.6724172732931504
10.0,0.3999833333333333,0.3999833333333334,0.38710294087667246,0.38710294087667246,1.6714495469915107
11.0,0.3967833333333333,0.3967833333333333,0.387565958886838,0.38756595888683787,1.6811947590493141
12.0,0.40293333333333325,0.40293333333333325,0.3908548953621898,0.3908548953621898,1.6646359067013925
13.0,0.40838333333333326,0.40838333333333326,0.399873233327129,0.399873233327129,1.6469184547028644
14.0,0.4143833333333333,0.4143833333333333,0.40491536938685646,0.40491536938685646,1.6336074297732495
15.0,0.4135,0.4135,0.4067202494776163,0.4067202494776163,1.6343371403978224
16.0,0.4169666666666667,0.4169666666666667,0.40955415551626545,0.4095541555162655,1.6276784147353882
17.0,0.4154,0.4154,0.4084837763567136,0.4084837763567136,1.6294858104371013
18.0,0.4181,0.4181,0.4108382947258097,0.4108382947258097,1.622136728180216
19.0,0.4168,0.4168,0.408193168569808,0.408193168569808,1.6233276149059865
20.0,0.4202666666666667,0.4202666666666667,0.41375206214673554,0.41375206214673554,1.6170081675052643
21.0,0.4281833333333333,0.4281833333333333,0.4203930009230861,0.4203930009230861,1.596987317724431
22.0,0.4220833333333333,0.4220833333333333,0.415254888377156,0.415254888377156,1.609419850085644
23.0,0.4240333333333334,0.4240333333333334,0.41770262541227615,0.41770262541227615,1.602234122854598
24.0,0.42128333333333334,0.42128333333333334,0.41562078203546743,0.41562078203546743,1.6089031343764446
25.0,0.42633333333333334,0.42633333333333334,0.41953609786018886,0.41953609786018886,1.5939842066866285
26.0,0.4278166666666666,0.4278166666666666,0.41935063517091065,0.41935063517091065,1.592839675507647
27.0,0.4299666666666666,0.4299666666666666,0.421093545229447,0.421093545229447,1.5889483160160958
28.0,0.4283833333333333,0.4283833333333333,0.4204329858036971,0.4204329858036971,1.5933478336384956
29.0,0.43121666666666664,0.43121666666666664,0.4221702243969855,0.4221702243969855,1.587344891466993
30.0,0.4326,0.4326,0.4277646596990322,0.4277646596990321,1.5794648590240072
