Epoch,Accuracy,F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.27995000000000003,0.27995000000000003,0.25405435562136397,0.254054355621364,1.9606521578545266
1.0,0.32963333333333333,0.32963333333333333,0.3082100728000308,0.3082100728000309,1.8406999698344695
2.0,0.34651666666666664,0.34651666666666664,0.3298532005754962,0.3298532005754962,1.796647874345171
3.0,0.36685,0.36685,0.35770075069290586,0.3577007506929059,1.7591615671807148
4.0,0.37268333333333337,0.37268333333333337,0.3587573941049819,0.35875739410498203,1.7473523834918407
5.0,0.37783333333333335,0.37783333333333335,0.3678956957473904,0.36789569574739034,1.7297069571119674
6.0,0.38519999999999993,0.38519999999999993,0.3740916429097022,0.3740916429097022,1.706524586931188
7.0,0.38161666666666666,0.38161666666666666,0.368350724274243,0.368350724274243,1.7110585181002922
8.0,0.3932666666666667,0.3932666666666667,0.3847406524523408,0.3847406524523408,1.6859654455742938
9.0,0.3940666666666667,0.3940666666666667,0.38629573831266384,0.3862957383126639,1.6752536721686098
10.0,0.4003166666666666,0.4003166666666666,0.3909767401588411,0.3909767401588411,1.6634045414468077
11.0,0.4064500000000001,0.4064500000000001,0.39600929797787515,0.3960092979778752,1.6517884754120036
12.0,0.4108833333333333,0.4108833333333333,0.4050286790552284,0.4050286790552284,1.640884953103167
13.0,0.4070333333333334,0.4070333333333333,0.3988382755064678,0.3988382755064678,1.6467129381413155
14.0,0.41045,0.41045,0.40097880036624217,0.40097880036624217,1.6477414909829484
15.0,0.40918333333333334,0.40918333333333334,0.4006837922376606,0.4006837922376606,1.639911286754811
16.0,0.41509999999999997,0.41509999999999997,0.4091283936987483,0.40912839369874837,1.62650464227859
17.0,0.41565,0.41565,0.4075833294536542,0.4075833294536541,1.6204072729070134
18.0,0.41875,0.41875,0.40933505765266964,0.40933505765266964,1.6205321112845805
19.0,0.42106666666666664,0.42106666666666664,0.4141497929493577,0.41414979294935766,1.6132465619990168
20.0,0.4211666666666666,0.4211666666666666,0.41502317946522893,0.41502317946522904,1.6085756000052107
21.0,0.4197666666666667,0.4197666666666667,0.41160073022190424,0.41160073022190424,1.6079738791952742
22.0,0.4203833333333333,0.4203833333333334,0.41460352538102124,0.41460352538102124,1.608208165650672
23.0,0.42024999999999996,0.42024999999999996,0.4137137940747187,0.4137137940747187,1.608390073953791
24.0,0.4312333333333333,0.4312333333333333,0.4245855098722099,0.4245855098722099,1.5873846903760382
25.0,0.43088333333333323,0.4308833333333334,0.42526455150760745,0.42526455150760745,1.586777791951565
26.0,0.4226166666666667,0.4226166666666667,0.41040271199387035,0.41040271199387035,1.6103200486365785
27.0,0.4247166666666667,0.4247166666666667,0.4149445893242264,0.4149445893242264,1.602171389853701
28.0,0.42623333333333335,0.42623333333333335,0.41848605806870276,0.41848605806870276,1.5952381390206358
29.0,0.42791666666666667,0.42791666666666667,0.4214767927512515,0.4214767927512514,1.593894895340534
30.0,0.4278166666666666,0.4278166666666666,0.4204017460999362,0.4204017460999361,1.5961932617299102
31.0,0.43339999999999995,0.43339999999999995,0.4286077710743908,0.4286077710743908,1.5791155626165108
32.0,0.43578333333333336,0.43578333333333336,0.42979631793796,0.42979631793796,1.5799379782473788
33.0,0.4340833333333333,0.4340833333333333,0.4271620487591547,0.4271620487591547,1.5741514160277996
34.0,0.4320166666666667,0.4320166666666667,0.4247016114970704,0.4247016114970704,1.5848550385617195
35.0,0.4327166666666667,0.4327166666666667,0.42849800828270623,0.42849800828270623,1.576728507812987
36.0,0.4345833333333333,0.4345833333333333,0.4295776718537227,0.4295776718537227,1.5750296744894474
37.0,0.4366333333333333,0.4366333333333333,0.4324051085543091,0.4324051085543091,1.5678524192343368
38.0,0.4344,0.4344,0.4286946947461473,0.4286946947461473,1.5777332489794873
39.0,0.4395833333333333,0.4395833333333333,0.4315273676959571,0.43152736769595706,1.5658715901222635
40.0,0.43841666666666673,0.43841666666666673,0.43160709281097115,0.43160709281097115,1.572381781770828
41.0,0.4404166666666667,0.4404166666666667,0.43485408054184777,0.43485408054184777,1.5713925494792613
42.0,0.44028333333333336,0.44028333333333336,0.43442900654155353,0.4344290065415534,1.5677417274485241
43.0,0.44349999999999995,0.44349999999999995,0.4384836830081283,0.4384836830081283,1.5592457871487801
44.0,0.4383,0.4382999999999999,0.4321875534195671,0.4321875534195671,1.571260414859082
45.0,0.4430666666666667,0.4430666666666667,0.43581880861048256,0.4358188086104825,1.5591759892220192
46.0,0.4401,0.4401,0.43337828460151606,0.43337828460151606,1.5703128354346498
47.0,0.44316666666666665,0.44316666666666665,0.43537745427680996,0.43537745427680985,1.5582813643394633
48.0,0.44190000000000007,0.44190000000000007,0.437080067415805,0.43708006741580513,1.559436284861666
49.0,0.4452166666666667,0.4452166666666667,0.4414638641016072,0.4414638641016072,1.5528086540546822
50.0,0.44659999999999994,0.44659999999999994,0.43854500299237087,0.4385450029923709,1.5533659312319248
51.0,0.44444999999999996,0.44444999999999996,0.4388661062494325,0.4388661062494325,1.5537397719444113
52.0,0.4454166666666667,0.4454166666666667,0.4361781151775995,0.4361781151775995,1.5595581319737941
53.0,0.44506666666666667,0.44506666666666667,0.4380518567063702,0.4380518567063702,1.5529866558440188
54.0,0.44623333333333337,0.44623333333333337,0.4407201485550786,0.4407201485550784,1.549483433682868
55.0,0.4469333333333333,0.4469333333333333,0.44279317451358313,0.44279317451358313,1.5486019048284976
56.0,0.4417833333333333,0.4417833333333333,0.433910852018503,0.4339108520185029,1.5641394409727543
57.0,0.44911666666666666,0.44911666666666666,0.44290536376164313,0.44290536376164324,1.545520599852217
58.0,0.44948333333333335,0.44948333333333335,0.44324834841164895,0.44324834841164895,1.5460454348554002
59.0,0.44715000000000005,0.44715000000000005,0.44233265462480886,0.44233265462480886,1.5514457372908899
60.0,0.4482333333333333,0.4482333333333333,0.4427301961709131,0.4427301961709131,1.5511281608267034
61.0,0.44653333333333334,0.44653333333333334,0.44166636512365204,0.44166636512365204,1.5517315641362615
62.0,0.4473,0.4473,0.4407082981682116,0.44070829816821167,1.550738740855075
63.0,0.4507833333333333,0.4507833333333333,0.44521955817608727,0.44521955817608727,1.5509183980048968
64.0,0.44876666666666665,0.44876666666666665,0.4414974103175779,0.4414974103175779,1.5469041408376492
65.0,0.44948333333333335,0.4494833333333334,0.44136138738969155,0.44136138738969144,1.545482463278669
66.0,0.4503333333333333,0.4503333333333333,0.44501508590533867,0.44501508590533867,1.5475516428338723
67.0,0.45030000000000003,0.45030000000000003,0.4452451163363995,0.4452451163363996,1.5423019103547362
68.0,0.44988333333333336,0.44988333333333336,0.4454643799059851,0.4454643799059851,1.5442258815816108
69.0,0.45054999999999995,0.45054999999999995,0.44490946976668394,0.4449094697666839,1.5411744548919355
70.0,0.4502999999999999,0.4502999999999999,0.4467266186270907,0.4467266186270907,1.538665616005025
71.0,0.4506,0.4506,0.44673683106764583,0.44673683106764583,1.546180142493958
72.0,0.45211666666666667,0.45211666666666667,0.44600105751941443,0.44600105751941443,1.542730234151191
73.0,0.45389999999999997,0.45389999999999997,0.44729732957695295,0.44729732957695295,1.5408504489888535
74.0,0.4532333333333334,0.4532333333333334,0.44630573529089423,0.4463057352908943,1.538537428607332
75.0,0.4489166666666667,0.4489166666666667,0.4428571066010787,0.4428571066010787,1.550116897770699
76.0,0.45121666666666665,0.45121666666666665,0.445081218124104,0.445081218124104,1.5464455184784343
77.0,0.45255,0.4525499999999999,0.4474209584563563,0.4474209584563564,1.5371404020076103
78.0,0.4521333333333334,0.4521333333333334,0.445315797376184,0.4453157973761841,1.5459331161164225
79.0,0.4521833333333333,0.4521833333333333,0.4445193762320946,0.4445193762320946,1.544599446083637
80.0,0.45220000000000005,0.45220000000000005,0.44516226702982886,0.44516226702982875,1.5390651817017413
81.0,0.44995,0.44995,0.4469596049986883,0.4469596049986883,1.5494851008374642
82.0,0.4522333333333333,0.4522333333333333,0.4459067154262777,0.4459067154262776,1.5397266551535178
83.0,0.4506166666666667,0.4506166666666667,0.4452150350411297,0.4452150350411298,1.5405869685589
84.0,0.4503666666666667,0.4503666666666667,0.4439704503767282,0.4439704503767282,1.5446462082101946
85.0,0.44991666666666663,0.44991666666666663,0.4449766883803381,0.4449766883803381,1.541872199799152
86.0,0.45166666666666677,0.45166666666666666,0.4453113899555901,0.4453113899555901,1.544068393428275
87.0,0.4524333333333333,0.45243333333333335,0.4468697992213941,0.4468697992213941,1.5394913527559726
88.0,0.4458333333333333,0.4458333333333333,0.4407377705419277,0.44073777054192764,1.5550972025445167
89.0,0.4545166666666667,0.4545166666666667,0.45118589924875324,0.45118589924875313,1.5332478897368655
90.0,0.4511333333333334,0.4511333333333334,0.44427212676423966,0.44427212676423977,1.5425860945214616
91.0,0.45328333333333337,0.45328333333333337,0.4494030942053794,0.4494030942053794,1.5402673415681147
92.0,0.4522333333333333,0.4522333333333333,0.44311394985595315,0.44311394985595315,1.53950722280969
93.0,0.45293333333333335,0.45293333333333335,0.44637027000318097,0.44637027000318097,1.5405471662257582
94.0,0.4483833333333333,0.4483833333333333,0.4441808831706454,0.4441808831706454,1.549199503406565
95.0,0.45085,0.45085,0.44801483020172644,0.44801483020172644,1.5439529965532586
96.0,0.4510666666666666,0.4510666666666666,0.44423109473194744,0.44423109473194744,1.5471293445597305
