Epoch,Accuracy,Precision (micro),Precision (macro),Precision (weighted),Recall (micro),Recall (macro),Recall (weighted),F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.10315384615384615,0.10315384615384615,0.04788062898260094,0.047880628982600926,0.10315384615384615,0.10315384615384615,0.10315384615384615,0.10315384615384615,0.026232538427460504,0.026232538427460504,2.323658110455769
1.0,0.12284615384615385,0.12284615384615385,0.1305519386984485,0.1305519386984485,0.12284615384615385,0.12284615384615385,0.12284615384615385,0.12284615384615385,0.05740408451953832,0.05740408451953834,2.2646889267898187
2.0,0.18030769230769234,0.18030769230769234,0.19426383733865932,0.19426383733865932,0.18030769230769234,0.18030769230769228,0.18030769230769234,0.18030769230769234,0.1121117029958408,0.11211170299584083,2.1665147042855986
3.0,0.22253846153846152,0.22253846153846152,0.20968033238231473,0.20968033238231473,0.22253846153846152,0.22253846153846152,0.22253846153846152,0.22253846153846152,0.15959450257379923,0.15959450257379926,2.054808424740303
4.0,0.24092307692307693,0.24092307692307693,0.23599881485496685,0.23599881485496682,0.24092307692307693,0.24092307692307693,0.24092307692307693,0.24092307692307693,0.18699855655538836,0.18699855655538836,1.988366024087115
5.0,0.26584615384615384,0.26584615384615384,0.26678863483457665,0.2667886348345766,0.26584615384615384,0.26584615384615384,0.26584615384615384,0.26584615384615384,0.2270896295130668,0.2270896295130668,1.944211233534464
6.0,0.2703846153846154,0.2703846153846154,0.29240700942881326,0.29240700942881326,0.2703846153846154,0.2703846153846154,0.2703846153846154,0.2703846153846154,0.2365067815691569,0.2365067815691569,1.9424064328030841
7.0,0.2935384615384615,0.2935384615384615,0.27803543208997905,0.27803543208997905,0.2935384615384615,0.2935384615384615,0.2935384615384615,0.2935384615384615,0.25568506974298316,0.25568506974298316,1.8912944392460147
8.0,0.29799999999999993,0.29799999999999993,0.3192757929972735,0.3192757929972735,0.29799999999999993,0.298,0.29799999999999993,0.29799999999999993,0.2655538782387583,0.2655538782387583,1.878405738458401
9.0,0.30292307692307696,0.30292307692307696,0.3044200475100968,0.30442004751009677,0.30292307692307696,0.3029230769230769,0.30292307692307696,0.30292307692307696,0.2660501133748966,0.26605011337489654,1.8555201989848438
10.0,0.31453846153846154,0.31453846153846154,0.350669593375109,0.35066959337510906,0.31453846153846154,0.31453846153846154,0.31453846153846154,0.31453846153846154,0.28876129087563457,0.28876129087563457,1.8413412256938657
11.0,0.3255384615384615,0.3255384615384615,0.32257155910119223,0.32257155910119223,0.3255384615384615,0.32553846153846155,0.3255384615384615,0.3255384615384615,0.2964000185520712,0.2964000185520712,1.8071020463617835
12.0,0.32453846153846155,0.32453846153846155,0.3534158324207199,0.3534158324207199,0.32453846153846155,0.32453846153846155,0.32453846153846155,0.32453846153846155,0.299091628222317,0.29909162822231705,1.8102496589102395
13.0,0.3333846153846154,0.3333846153846154,0.35841839716179885,0.3584183971617988,0.3333846153846154,0.3333846153846154,0.3333846153846154,0.3333846153846154,0.3017698790235949,0.301769879023595,1.7978165231099943
14.0,0.3463846153846154,0.3463846153846154,0.3713594586671053,0.3713594586671053,0.3463846153846154,0.3463846153846154,0.3463846153846154,0.34638461538461535,0.3268887235008856,0.3268887235008856,1.7574681904257798
15.0,0.35315384615384615,0.35315384615384615,0.37961926081138364,0.37961926081138364,0.35315384615384615,0.35315384615384615,0.35315384615384615,0.35315384615384615,0.3309522822199189,0.3309522822199189,1.744329481008576
16.0,0.36023076923076924,0.36023076923076924,0.3823109063871427,0.3823109063871427,0.36023076923076924,0.36023076923076924,0.36023076923076924,0.36023076923076924,0.33669134146919777,0.33669134146919777,1.731147461402707
17.0,0.3658461538461538,0.3658461538461538,0.3910957532649043,0.3910957532649043,0.3658461538461538,0.3658461538461538,0.3658461538461538,0.3658461538461538,0.35304089575610975,0.35304089575610964,1.715896183688466
18.0,0.36746153846153845,0.36746153846153845,0.3986899486341398,0.39868994863413976,0.36746153846153845,0.3674615384615385,0.36746153846153845,0.3674615384615384,0.349292955909816,0.34929295590981596,1.7115333132627533
19.0,0.38007692307692303,0.38007692307692303,0.3948581668739169,0.3948581668739169,0.38007692307692303,0.38007692307692303,0.38007692307692303,0.38007692307692303,0.36035757299394566,0.36035757299394566,1.6711845025783632
20.0,0.3780769230769231,0.3780769230769231,0.40485657023508353,0.40485657023508353,0.3780769230769231,0.3780769230769231,0.3780769230769231,0.3780769230769231,0.3597029349421471,0.3597029349421471,1.6791008018865816
21.0,0.3945384615384615,0.3945384615384615,0.40504081950217496,0.4050408195021751,0.3945384615384615,0.3945384615384615,0.3945384615384615,0.3945384615384615,0.37337176829368757,0.3733717682936876,1.6409831204065461
22.0,0.3880769230769231,0.3880769230769231,0.3957122239431234,0.3957122239431235,0.3880769230769231,0.3880769230769231,0.3880769230769231,0.3880769230769231,0.36342026519336745,0.36342026519336745,1.6506323139841963
23.0,0.3913846153846154,0.3913846153846154,0.40526024732137866,0.40526024732137866,0.3913846153846154,0.3913846153846154,0.3913846153846154,0.3913846153846154,0.37146219981614603,0.37146219981614603,1.6466379235430462
24.0,0.40738461538461535,0.40738461538461535,0.40903514742466635,0.40903514742466635,0.40738461538461535,0.40738461538461535,0.40738461538461535,0.40738461538461535,0.3887613890254159,0.388761389025416,1.6258241810449738
25.0,0.39299999999999996,0.39299999999999996,0.4177031352588604,0.4177031352588603,0.39299999999999996,0.39300000000000007,0.39299999999999996,0.39299999999999996,0.37335047109943875,0.37335047109943875,1.6286550946351959
26.0,0.4128461538461538,0.4128461538461538,0.4201389005866111,0.4201389005866111,0.4128461538461538,0.4128461538461538,0.4128461538461538,0.4128461538461538,0.39659913685544745,0.3965991368554474,1.6023281981305377
27.0,0.4069230769230769,0.4069230769230769,0.4271003127451958,0.42710031274519566,0.4069230769230769,0.4069230769230769,0.4069230769230769,0.4069230769230769,0.3927541552929256,0.3927541552929256,1.6067619562149047
28.0,0.41815384615384615,0.41815384615384615,0.43715595963903037,0.4371559596390303,0.41815384615384615,0.41815384615384615,0.41815384615384615,0.41815384615384615,0.40615674670223256,0.40615674670223256,1.5910923614734558
