Epoch,Accuracy,Precision (micro),Precision (macro),Precision (weighted),Recall (micro),Recall (macro),Recall (weighted),F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.12338461538461538,0.12338461538461538,0.0726968544748595,0.07269685447485952,0.12338461538461538,0.12338461538461538,0.12338461538461538,0.12338461538461538,0.05306756636208863,0.053067566362088626,2.299045972126286
1.0,0.16953846153846155,0.16953846153846155,0.17668639688575183,0.17668639688575183,0.16953846153846155,0.1695384615384615,0.16953846153846155,0.16953846153846153,0.1071822092585144,0.1071822092585144,2.2454010463342433
2.0,0.20584615384615385,0.20584615384615385,0.19210347904085542,0.19210347904085542,0.20584615384615385,0.20584615384615387,0.20584615384615385,0.20584615384615385,0.13657999164586396,0.13657999164586399,2.081364240878966
3.0,0.2422307692307692,0.2422307692307692,0.23995729829453838,0.23995729829453838,0.2422307692307692,0.2422307692307692,0.2422307692307692,0.2422307692307692,0.17854105856924435,0.17854105856924435,1.9756330623859313
4.0,0.2804615384615385,0.2804615384615385,0.31158069541545175,0.31158069541545175,0.2804615384615385,0.2804615384615385,0.2804615384615385,0.2804615384615385,0.2407477645563441,0.2407477645563441,1.8972983994135042
5.0,0.29392307692307695,0.29392307692307695,0.3466096158425695,0.3466096158425695,0.29392307692307695,0.29392307692307695,0.29392307692307695,0.29392307692307695,0.2643483735438721,0.2643483735438721,1.854807875796062
6.0,0.29953846153846153,0.29953846153846153,0.33613754966662235,0.33613754966662235,0.29953846153846153,0.29953846153846153,0.29953846153846153,0.29953846153846153,0.26152142417233953,0.2615214241723396,1.8503831578464045
7.0,0.3190769230769231,0.3190769230769231,0.3361451699226497,0.3361451699226497,0.3190769230769231,0.3190769230769231,0.3190769230769231,0.3190769230769231,0.28315366350011745,0.2831536635001174,1.7801983955429823
8.0,0.33592307692307694,0.33592307692307694,0.408262449317479,0.408262449317479,0.33592307692307694,0.33592307692307694,0.33592307692307694,0.33592307692307694,0.30846818560498274,0.3084681856049827,1.758338331013191
9.0,0.34969230769230764,0.34969230769230764,0.38383698900156055,0.38383698900156055,0.34969230769230764,0.34969230769230764,0.34969230769230764,0.34969230769230764,0.32425493392544974,0.32425493392544974,1.721939481176981
10.0,0.36615384615384616,0.36615384615384616,0.4237149029452666,0.4237149029452665,0.36615384615384616,0.36615384615384616,0.36615384615384616,0.36615384615384616,0.3437250264912598,0.3437250264912598,1.7011455018345902
11.0,0.3806153846153846,0.3806153846153846,0.3978805656258926,0.3978805656258926,0.3806153846153846,0.3806153846153847,0.3806153846153846,0.3806153846153846,0.36376810716184815,0.36376810716184815,1.6601525853319867
12.0,0.3841538461538462,0.3841538461538462,0.4136876055135265,0.4136876055135265,0.3841538461538462,0.3841538461538462,0.3841538461538462,0.3841538461538462,0.3636816214659519,0.3636816214659519,1.662152794512307
13.0,0.3993076923076923,0.3993076923076923,0.4278216200252752,0.4278216200252752,0.3993076923076923,0.39930769230769236,0.3993076923076923,0.3993076923076923,0.3838147951180141,0.3838147951180141,1.6184891165756596
14.0,0.41015384615384615,0.41015384615384615,0.44004752388089746,0.4400475238808975,0.41015384615384615,0.41015384615384615,0.41015384615384615,0.41015384615384615,0.3954312879886035,0.39543128798860344,1.5991473895747488
15.0,0.40700000000000003,0.40700000000000003,0.4371559046883736,0.4371559046883736,0.40700000000000003,0.4069999999999999,0.40700000000000003,0.4069999999999999,0.39325348290612727,0.39325348290612727,1.6007213976325059
16.0,0.4067692307692307,0.4067692307692307,0.45677626622946743,0.45677626622946743,0.4067692307692307,0.4067692307692307,0.4067692307692307,0.4067692307692307,0.3905504341113672,0.3905504341113672,1.5887361404372424
