Epoch,Accuracy,Precision (micro),Precision (macro),Precision (weighted),Recall (micro),Recall (macro),Recall (weighted),F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.10092307692307693,0.10092307692307693,0.03712757813414487,0.03712757813414487,0.10092307692307693,0.10092307692307693,0.10092307692307693,0.10092307692307693,0.024616934741889956,0.024616934741889952,2.3344204018755654
1.0,0.11092307692307693,0.11092307692307693,0.03168488851936074,0.03168488851936074,0.11092307692307693,0.11092307692307694,0.11092307692307693,0.11092307692307693,0.036096062691615305,0.036096062691615305,2.3189918878601814
2.0,0.11338461538461539,0.11338461538461539,0.043544832859633044,0.043544832859633044,0.11338461538461539,0.11338461538461539,0.11338461538461539,0.11338461538461538,0.04388570076579239,0.04388570076579239,2.3050682451666855
3.0,0.11615384615384616,0.11615384615384616,0.06727736083502348,0.06727736083502349,0.11615384615384616,0.11615384615384616,0.11615384615384616,0.11615384615384616,0.03907319331231091,0.03907319331231092,2.2974286242229183
4.0,0.1609230769230769,0.1609230769230769,0.13417881000095438,0.13417881000095438,0.1609230769230769,0.1609230769230769,0.1609230769230769,0.1609230769230769,0.08628568176351126,0.08628568176351124,2.262476198847701
5.0,0.1896153846153846,0.1896153846153846,0.1565326841337189,0.1565326841337189,0.1896153846153846,0.18961538461538463,0.1896153846153846,0.18961538461538463,0.12432734179675017,0.12432734179675017,2.2104022142363755
6.0,0.21669230769230766,0.21669230769230766,0.19956339750480132,0.1995633975048013,0.21669230769230766,0.21669230769230766,0.21669230769230766,0.21669230769230766,0.15174279857524692,0.15174279857524692,2.1374567049305617
7.0,0.2241538461538462,0.2241538461538462,0.24200785642101436,0.24200785642101436,0.2241538461538462,0.22415384615384615,0.2241538461538462,0.2241538461538462,0.17201640657884942,0.1720164065788494,2.091940582089308
8.0,0.23292307692307693,0.23292307692307693,0.22845452254322945,0.22845452254322945,0.23292307692307693,0.23292307692307693,0.23292307692307693,0.23292307692307693,0.19433696563740246,0.19433696563740244,2.069975809353154
9.0,0.24007692307692308,0.24007692307692308,0.2617916292963738,0.2617916292963738,0.24007692307692308,0.24007692307692308,0.24007692307692308,0.24007692307692308,0.19750197840470668,0.19750197840470668,2.035502460526257
10.0,0.25607692307692304,0.25607692307692304,0.25645646859496785,0.25645646859496785,0.25607692307692304,0.25607692307692304,0.25607692307692304,0.25607692307692304,0.21646510728254156,0.21646510728254156,2.0247147595010153
