Epoch,Accuracy,Precision (micro),Precision (macro),Precision (weighted),Recall (micro),Recall (macro),Recall (weighted),F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.6176142857142857,0.6176142857142857,0.6376897676241854,0.6376897676241854,0.6176142857142857,0.6176142857142857,0.6176142857142857,0.6176142857142857,0.6080920602188359,0.6080920602188359,1.0115424089780136
1.0,0.6873285714285713,0.6873285714285713,0.6851550052266934,0.6851550052266934,0.6873285714285713,0.6873285714285714,0.6873285714285713,0.6873285714285713,0.6776658000413422,0.6776658000413422,0.8392049480790961
2.0,0.7019285714285715,0.7019285714285715,0.7130887574092897,0.7130887574092897,0.7019285714285715,0.7019285714285715,0.7019285714285715,0.7019285714285715,0.6915063120988475,0.6915063120988475,0.8056899477357735
3.0,0.7223428571428572,0.7223428571428572,0.7267188960545121,0.7267188960545121,0.7223428571428572,0.7223428571428572,0.7223428571428572,0.7223428571428572,0.7142660141027284,0.7142660141027283,0.7414613960540458
4.0,0.733,0.733,0.7379632980769282,0.7379632980769284,0.733,0.733,0.733,0.7330000000000001,0.7265549842020232,0.7265549842020232,0.717162364449131
5.0,0.7407857142857143,0.7407857142857143,0.7485850468838868,0.7485850468838868,0.7407857142857143,0.7407857142857143,0.7407857142857143,0.7407857142857143,0.7384772245306405,0.7384772245306405,0.693455387604291
6.0,0.7460857142857144,0.7460857142857144,0.751053955741207,0.751053955741207,0.7460857142857144,0.7460857142857142,0.7460857142857144,0.7460857142857144,0.741718303815067,0.7417183038150671,0.6811955907573439
7.0,0.7559714285714285,0.7559714285714285,0.7574988393854375,0.7574988393854376,0.7559714285714285,0.7559714285714285,0.7559714285714285,0.7559714285714285,0.7492634720856024,0.7492634720856024,0.6634557362288644
8.0,0.7525285714285714,0.7525285714285714,0.7596654401988641,0.759665440198864,0.7525285714285714,0.7525285714285713,0.7525285714285714,0.7525285714285714,0.746027574624782,0.7460275746247822,0.666387504257568
9.0,0.7669428571428571,0.7669428571428571,0.7680628270923119,0.7680628270923119,0.7669428571428571,0.7669428571428571,0.7669428571428571,0.7669428571428571,0.7638580786535616,0.7638580786535616,0.6294392353323497
10.0,0.775,0.775,0.7789078774327461,0.778907877432746,0.775,0.775,0.775,0.775,0.7723048324128402,0.7723048324128402,0.6102499431126739
11.0,0.7690142857142858,0.7690142857142858,0.7739070439750892,0.7739070439750891,0.7690142857142858,0.7690142857142858,0.7690142857142858,0.7690142857142857,0.7642317475794747,0.7642317475794748,0.6143163300812515
12.0,0.7772714285714286,0.7772714285714286,0.7812683232561863,0.7812683232561863,0.7772714285714286,0.7772714285714285,0.7772714285714286,0.7772714285714286,0.7748276026873466,0.7748276026873466,0.5976105480977935
13.0,0.7760857142857143,0.7760857142857143,0.791179377823671,0.7911793778236712,0.7760857142857143,0.7760857142857143,0.7760857142857143,0.7760857142857143,0.776207555644881,0.776207555644881,0.5894736195263798
14.0,0.7836285714285715,0.7836285714285715,0.785152762155259,0.7851527621552591,0.7836285714285715,0.7836285714285715,0.7836285714285715,0.7836285714285715,0.7805700263943522,0.7805700263943522,0.5857084612868148
15.0,0.7819142857142858,0.7819142857142858,0.7888531296692779,0.7888531296692779,0.7819142857142858,0.7819142857142858,0.7819142857142858,0.7819142857142858,0.7767671473513258,0.776767147351326,0.5854649069918889
16.0,0.791242857142857,0.791242857142857,0.7925432424664738,0.7925432424664739,0.791242857142857,0.7912428571428572,0.791242857142857,0.7912428571428572,0.7864157433757184,0.7864157433757182,0.5625784130401263
17.0,0.7939428571428572,0.7939428571428572,0.7969154933942912,0.7969154933942912,0.7939428571428572,0.7939428571428572,0.7939428571428572,0.7939428571428572,0.7922152087777983,0.7922152087777983,0.5526565233866374
18.0,0.7921857142857143,0.7921857142857143,0.7997676567865406,0.7997676567865405,0.7921857142857143,0.7921857142857143,0.7921857142857143,0.7921857142857143,0.788889227284548,0.788889227284548,0.5571208356177969
19.0,0.7988142857142858,0.7988142857142858,0.8013203459945373,0.8013203459945373,0.7988142857142858,0.7988142857142858,0.7988142857142858,0.7988142857142858,0.7953038554850813,0.7953038554850812,0.5441013181862766
20.0,0.8025571428571429,0.8025571428571429,0.8045612408922072,0.8045612408922069,0.8025571428571429,0.8025571428571429,0.8025571428571429,0.8025571428571429,0.7987074864176604,0.7987074864176605,0.5362781650127342
21.0,0.8052571428571429,0.8052571428571429,0.8054438103441834,0.805443810344183,0.8052571428571429,0.8052571428571429,0.8052571428571429,0.8052571428571429,0.8016347782499391,0.8016347782499389,0.5263420006455897
22.0,0.8088,0.8088,0.8100065084905189,0.8100065084905189,0.8088,0.8088,0.8088,0.8088000000000001,0.8077708001854453,0.8077708001854453,0.5178347834169048
23.0,0.8027857142857142,0.8027857142857142,0.80532667084185,0.80532667084185,0.8027857142857142,0.8027857142857142,0.8027857142857142,0.8027857142857142,0.7962641634784817,0.7962641634784818,0.5362234484115147
24.0,0.8043428571428572,0.8043428571428572,0.8082336881744556,0.8082336881744556,0.8043428571428572,0.804342857142857,0.8043428571428572,0.8043428571428572,0.802017741484962,0.8020177414849619,0.5220317771581755
