Epoch,Accuracy,F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.5897857142857144,0.5897857142857144,0.5776561019993185,0.5776561019993185,1.0753986205140205
1.0,0.6823428571428571,0.6823428571428571,0.6739337619381771,0.6739337619381771,0.8632618785993149
2.0,0.6938428571428571,0.6938428571428571,0.6850944342848039,0.685094434284804,0.8240173449799351
3.0,0.7208285714285714,0.7208285714285714,0.7146758352896716,0.7146758352896716,0.7572671864130726
4.0,0.7241571428571428,0.7241571428571428,0.7198843115013299,0.7198843115013298,0.7445380135486115
5.0,0.7363714285714286,0.7363714285714286,0.7332392316323373,0.7332392316323372,0.7086385234305848
6.0,0.7426142857142857,0.7426142857142857,0.738125395383727,0.738125395383727,0.6934680235440328
7.0,0.7468285714285714,0.7468285714285715,0.7415135526437716,0.7415135526437717,0.6772392903833084
8.0,0.7491428571428571,0.7491428571428571,0.7435454965285733,0.7435454965285733,0.671029595615657
9.0,0.7667428571428572,0.7667428571428572,0.764058686604471,0.764058686604471,0.6327934452932176
10.0,0.771057142857143,0.771057142857143,0.7676301501248701,0.7676301501248701,0.6127944580224007
11.0,0.7726,0.7726,0.7687103965384681,0.7687103965384681,0.6112904427802726
12.0,0.7768714285714287,0.7768714285714287,0.7751624908498325,0.7751624908498327,0.6031383264010355
13.0,0.7783714285714286,0.7783714285714286,0.7764158628641232,0.7764158628641232,0.5917612912992365
14.0,0.7867285714285714,0.7867285714285716,0.7835837375139356,0.7835837375139356,0.583454069046125
15.0,0.7863,0.7863,0.783581301026885,0.783581301026885,0.575579303747987
16.0,0.7919571428571428,0.7919571428571428,0.788992593302956,0.788992593302956,0.5635956870910784
17.0,0.791457142857143,0.7914571428571429,0.7904560265453396,0.7904560265453398,0.5610219684773929
18.0,0.7957142857142857,0.7957142857142856,0.7925982842871353,0.7925982842871352,0.5587324034677793
19.0,0.7976857142857143,0.7976857142857143,0.7938117793982331,0.7938117793982331,0.5536344542350944
20.0,0.8019857142857143,0.8019857142857143,0.7989519319307299,0.7989519319307299,0.542151103689246
21.0,0.8010571428571428,0.8010571428571428,0.7980707658537101,0.7980707658537101,0.5391395538637083
22.0,0.8039142857142856,0.8039142857142856,0.8028211439876987,0.8028211439876987,0.5299842421322652
23.0,0.8024571428571428,0.8024571428571428,0.7984353127371595,0.7984353127371595,0.5394627235251475
24.0,0.8018714285714286,0.8018714285714286,0.7987011044789878,0.7987011044789878,0.5343758433648984
25.0,0.8103714285714286,0.8103714285714286,0.8083207177097538,0.8083207177097537,0.5166710809077302
26.0,0.8054857142857144,0.8054857142857144,0.802082595698711,0.8020825956987109,0.525884324421077
27.0,0.8106428571428573,0.8106428571428573,0.8097610863607411,0.809761086360741,0.5155105710029602
28.0,0.8107285714285715,0.8107285714285715,0.8074518458416703,0.8074518458416703,0.5161146207487202
29.0,0.8107,0.8107,0.8074004204864809,0.807400420486481,0.5155365925401313
30.0,0.811542857142857,0.811542857142857,0.8084361733394374,0.8084361733394374,0.5134187738508939
31.0,0.8157428571428571,0.8157428571428571,0.8117896264051682,0.8117896264051682,0.5039089460215067
32.0,0.8144857142857143,0.8144857142857145,0.8136114385523703,0.8136114385523703,0.5058144123995142
33.0,0.8174142857142858,0.8174142857142858,0.8130357196053491,0.8130357196053491,0.49917308000941246
34.0,0.8122857142857143,0.8122857142857143,0.8092485622226556,0.8092485622226556,0.5118350938574909
35.0,0.8179000000000001,0.8179000000000001,0.8163718128884125,0.8163718128884125,0.4965508650426996
36.0,0.8140714285714287,0.8140714285714286,0.8139832393322031,0.8139832393322031,0.5004634262492124
37.0,0.8113714285714286,0.8113714285714286,0.8106174322272501,0.8106174322272501,0.5145006255608171
38.0,0.8213285714285714,0.8213285714285716,0.8197440174928019,0.8197440174928019,0.49076479134494305
39.0,0.8189,0.8189,0.8152285394525508,0.8152285394525508,0.4933635693162543
40.0,0.8156428571428572,0.8156428571428572,0.8160074850387146,0.8160074850387146,0.5014191469101057
41.0,0.8178142857142857,0.8178142857142857,0.8149301659999951,0.8149301659999952,0.4957941213563153
42.0,0.816757142857143,0.816757142857143,0.8135568431829616,0.8135568431829616,0.5017591855841684
43.0,0.8240285714285713,0.8240285714285713,0.8220478200711778,0.8220478200711778,0.48042725162691174
44.0,0.8178571428571428,0.8178571428571428,0.8142464592721963,0.8142464592721963,0.49128239537210766
45.0,0.819,0.819,0.8177669386767631,0.8177669386767631,0.49075675986401013
46.0,0.8220571428571428,0.8220571428571428,0.8215358310166965,0.8215358310166962,0.48132132057729926
47.0,0.822642857142857,0.822642857142857,0.8216969252317904,0.8216969252317904,0.4859425231610259
48.0,0.8183857142857143,0.8183857142857143,0.8176563945098403,0.8176563945098401,0.49021417863292777
49.0,0.8234,0.8234,0.8217522973004773,0.821752297300477,0.4847294556495806
50.0,0.8237571428571429,0.8237571428571429,0.8204866252078492,0.8204866252078492,0.48234382399685305
51.0,0.8240571428571428,0.8240571428571428,0.8223196606018514,0.8223196606018514,0.4770050186953044
52.0,0.8257428571428571,0.8257428571428571,0.8228107136320988,0.8228107136320988,0.4723786248464018
53.0,0.8258714285714286,0.8258714285714286,0.8251063525170522,0.8251063525170522,0.47493266027812
54.0,0.8265714285714285,0.8265714285714285,0.823819752950266,0.823819752950266,0.47273800839844354
55.0,0.8253714285714284,0.8253714285714286,0.8228921893009359,0.8228921893009359,0.47713493085615166
56.0,0.8238428571428571,0.8238428571428573,0.8234030998939721,0.8234030998939719,0.47881107342569795
57.0,0.8284,0.8284,0.8266486875456721,0.8266486875456721,0.47026256503851993
58.0,0.8291000000000001,0.8291000000000001,0.827650839583956,0.827650839583956,0.4669666200604069
59.0,0.8282571428571428,0.8282571428571428,0.8274191695694461,0.8274191695694461,0.46645320242942734
60.0,0.8279857142857143,0.8279857142857143,0.826402333960818,0.826402333960818,0.4700648359103834
61.0,0.8299428571428571,0.8299428571428571,0.8273352802075384,0.8273352802075384,0.46630711529625063
62.0,0.8310285714285716,0.8310285714285716,0.8281290318805222,0.8281290318805222,0.4639582288455745
63.0,0.8285571428571428,0.8285571428571428,0.8245679580359514,0.8245679580359514,0.4680334292454262
64.0,0.8268571428571428,0.8268571428571428,0.8262583269409873,0.8262583269409873,0.46909720718044123
65.0,0.8301714285714287,0.8301714285714287,0.8265688882098342,0.8265688882098342,0.4649880142652826
66.0,0.8275857142857144,0.8275857142857144,0.8277358323733954,0.8277358323733954,0.4667370534922979
67.0,0.8280857142857142,0.8280857142857142,0.824239943331248,0.824239943331248,0.4770011428148234
68.0,0.8271857142857144,0.8271857142857144,0.8238747959978877,0.8238747959978877,0.4760823610846855
69.0,0.8332857142857144,0.8332857142857144,0.8320588398008549,0.8320588398008549,0.4572915393331824
70.0,0.8311571428571428,0.8311571428571428,0.8292266205154544,0.8292266205154544,0.4620136392579231
71.0,0.8315571428571429,0.8315571428571428,0.8308217230630021,0.8308217230630021,0.45935787626597435
72.0,0.8290428571428572,0.8290428571428571,0.8278038712549842,0.827803871254984,0.4646104073415608
73.0,0.8299428571428571,0.8299428571428571,0.829987956259273,0.829987956259273,0.46227749118657957
74.0,0.8309999999999998,0.8309999999999998,0.8288091355907264,0.8288091355907264,0.4577816335986194
75.0,0.8340428571428571,0.8340428571428571,0.8310250614984624,0.8310250614984627,0.4550447976752503
76.0,0.8331857142857144,0.8331857142857144,0.8323970940716402,0.8323970940716402,0.45543620108741606
77.0,0.8317428571428571,0.8317428571428571,0.8307557872033442,0.830755787203344,0.4567871899501374
78.0,0.8305142857142858,0.8305142857142858,0.8267433712809265,0.8267433712809265,0.46511276226881976
79.0,0.8292142857142858,0.8292142857142858,0.8261943250772331,0.8261943250772331,0.47141791003751976
80.0,0.8350857142857142,0.8350857142857142,0.832587635638802,0.8325876356388019,0.45159440995895705
81.0,0.8301142857142858,0.8301142857142858,0.8265802697246158,0.8265802697246156,0.4675867734434398
82.0,0.8329285714285714,0.8329285714285714,0.8320240814132402,0.8320240814132402,0.45552792841713174
83.0,0.8312857142857142,0.8312857142857142,0.8293332896940443,0.8293332896940445,0.46086878087966954
84.0,0.8356857142857143,0.8356857142857143,0.83367483590728,0.83367483590728,0.4525098267211217
