Epoch,Accuracy,F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.6028,0.6028,0.5865877265161508,0.5865877265161508,1.0550014854021814
1.0,0.6651285714285715,0.6651285714285715,0.6501926410933316,0.6501926410933317,0.8863773231636989
2.0,0.6769142857142857,0.6769142857142857,0.6592831211328656,0.6592831211328656,0.861894142627716
3.0,0.6882285714285714,0.6882285714285714,0.6757389828102809,0.6757389828102809,0.8210876563368323
4.0,0.6973,0.6973,0.6876507068244624,0.6876507068244624,0.7962040781702625
5.0,0.6990714285714286,0.6990714285714286,0.6917131278040275,0.6917131278040275,0.7796894316803918
6.0,0.7102428571428572,0.7102428571428572,0.7026798349159187,0.7026798349159186,0.76620887077018
7.0,0.7115857142857143,0.7115857142857143,0.7030233148793313,0.7030233148793313,0.7494753653872502
8.0,0.7072428571428572,0.7072428571428572,0.6953213479001598,0.6953213479001598,0.7605364670764365
9.0,0.7202857142857143,0.7202857142857143,0.7150854646016226,0.7150854646016225,0.7277249352844883
10.0,0.7172714285714286,0.7172714285714286,0.7030409699845611,0.7030409699845611,0.7297932620734385
11.0,0.7251428571428572,0.7251428571428571,0.7180318197667612,0.7180318197667613,0.7164608908298352
12.0,0.7240285714285715,0.7240285714285715,0.7169141272068128,0.7169141272068128,0.7139620248041196
13.0,0.7249000000000001,0.7249000000000001,0.7193459379269151,0.7193459379269154,0.7147760485405248
14.0,0.7300571428571428,0.7300571428571428,0.7227948811889415,0.7227948811889415,0.7051636535283092
15.0,0.7326999999999999,0.7327,0.7255599136932911,0.7255599136932911,0.6966846065978481
16.0,0.7332428571428572,0.7332428571428572,0.724480827926865,0.7244808279268652,0.6980996264170295
17.0,0.7305571428571429,0.7305571428571429,0.7274156996127058,0.7274156996127057,0.6952074348110042
18.0,0.7381571428571428,0.7381571428571428,0.7324706228874248,0.7324706228874247,0.6827429398826268
19.0,0.7406714285714286,0.7406714285714286,0.7341184503442344,0.7341184503442346,0.6796347629806222
20.0,0.7420714285714286,0.7420714285714286,0.7353979801711557,0.7353979801711559,0.6739542149245468
21.0,0.7435857142857143,0.7435857142857143,0.7376714914540504,0.7376714914540505,0.6675855489354156
22.0,0.7438285714285715,0.7438285714285715,0.74039789527305,0.7403978952730501,0.6670823695180623
23.0,0.7451142857142857,0.7451142857142857,0.7359845172326599,0.7359845172326599,0.6675266604717464
24.0,0.7491428571428571,0.7491428571428572,0.7447520115902975,0.7447520115902975,0.6490095436028694
25.0,0.7491,0.7491,0.7441567092724949,0.7441567092724948,0.652237387688737
26.0,0.7512857142857143,0.7512857142857143,0.744526473646516,0.744526473646516,0.6451067943823392
27.0,0.7556571428571429,0.7556571428571429,0.7511202001513222,0.7511202001513223,0.6412038786226212
28.0,0.7563428571428572,0.7563428571428572,0.750786318124745,0.750786318124745,0.6374310267842523
29.0,0.7579285714285714,0.7579285714285714,0.7519547012715885,0.7519547012715885,0.6345825304995933
30.0,0.754442857142857,0.754442857142857,0.7497660745410988,0.7497660745410988,0.6409659394662673
31.0,0.7567285714285715,0.7567285714285715,0.7506062279630326,0.7506062279630326,0.6327593152653681
32.0,0.7600428571428572,0.7600428571428572,0.7556247280928254,0.7556247280928254,0.6266477797401551
33.0,0.7618571428571428,0.7618571428571428,0.7537506771239489,0.753750677123949,0.6290151133384879
34.0,0.7560285714285714,0.7560285714285714,0.7511905138377191,0.7511905138377191,0.6306865052001116
35.0,0.7613999999999999,0.7613999999999999,0.7583888044842515,0.7583888044842515,0.6214500486034237
36.0,0.7617428571428572,0.7617428571428572,0.7597590413191966,0.7597590413191966,0.6201317628769025
37.0,0.7574285714285715,0.7574285714285713,0.7533197584988953,0.7533197584988953,0.6289762530424824
