Epoch,Accuracy,F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.5348857142857143,0.5348857142857143,0.5162544535886842,0.5162544535886842,1.2402427107231804
1.0,0.611057142857143,0.611057142857143,0.5893212849259438,0.5893212849259439,1.0608926948347048
2.0,0.6489142857142857,0.6489142857142857,0.6422243718744726,0.6422243718744726,0.9459233230379619
3.0,0.6718,0.6718,0.6618720944001657,0.6618720944001655,0.8922701260270592
4.0,0.671457142857143,0.671457142857143,0.6662713926625642,0.6662713926625642,0.8704373281840321
5.0,0.6790571428571429,0.6790571428571429,0.6764455480030576,0.6764455480030575,0.8538741159112485
6.0,0.6904285714285714,0.6904285714285714,0.6823760554928152,0.6823760554928154,0.8258547702064252
7.0,0.6952285714285713,0.6952285714285713,0.6864441685761749,0.6864441685761749,0.8141637635013284
8.0,0.6960857142857142,0.6960857142857142,0.6865742803436907,0.6865742803436906,0.80966193183372
9.0,0.6884714285714286,0.6884714285714286,0.6849094135776361,0.6849094135776361,0.8205246340738584
10.0,0.7035285714285715,0.7035285714285715,0.6967260436947232,0.6967260436947234,0.7869544801918884
11.0,0.7063714285714285,0.7063714285714285,0.7000569708887079,0.7000569708887079,0.7796560466561687
12.0,0.7071428571428571,0.7071428571428571,0.7019403903634277,0.7019403903634277,0.7772215761822652
13.0,0.7067285714285715,0.7067285714285715,0.7023498647446281,0.7023498647446281,0.7702746824314606
14.0,0.7121714285714285,0.7121714285714285,0.7050001110784294,0.7050001110784295,0.7600627726615835
15.0,0.7142714285714284,0.7142714285714284,0.7056116045665298,0.7056116045665298,0.7570551726916065
16.0,0.7219142857142857,0.7219142857142857,0.7171210830055961,0.7171210830055962,0.742615519130611
17.0,0.7269571428571429,0.7269571428571429,0.7214687031158862,0.7214687031158863,0.7251992140458599
18.0,0.7263857142857143,0.7263857142857143,0.7243681652684232,0.7243681652684232,0.7272635220936988
19.0,0.7263571428571429,0.7263571428571429,0.722460548922809,0.7224605489228091,0.7277688983368547
20.0,0.7301285714285715,0.7301285714285715,0.7276576936221054,0.7276576936221053,0.721437917915109
21.0,0.7341142857142857,0.7341142857142857,0.7329328820502843,0.7329328820502843,0.7073734043123515
22.0,0.7304999999999999,0.7304999999999999,0.7245642072796391,0.724564207279639,0.7143507759320682
23.0,0.7291428571428572,0.7291428571428572,0.724143535590777,0.7241435355907769,0.7204328786836911
24.0,0.7345285714285714,0.7345285714285714,0.7322334931765333,0.7322334931765333,0.7059277344512068
25.0,0.7410000000000001,0.7410000000000001,0.7378610543728339,0.7378610543728339,0.6902680327086688
