Epoch,Accuracy,Precision (micro),Precision (macro),Precision (weighted),Recall (micro),Recall (macro),Recall (weighted),F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.43979999999999997,0.43979999999999997,0.6854548737784045,0.6854548737784046,0.43979999999999997,0.43979999999999997,0.43979999999999997,0.43979999999999997,0.4843665163561403,0.48436651635614025,1.9955577791553654
1.0,0.4559571428571429,0.4559571428571429,0.7374710616804292,0.7374710616804293,0.4559571428571429,0.4559571428571429,0.4559571428571429,0.4559571428571429,0.5102235809437576,0.5102235809437575,1.9797952656332218
2.0,0.46902857142857146,0.46902857142857146,0.7517786149548488,0.7517786149548488,0.46902857142857146,0.46902857142857146,0.46902857142857146,0.46902857142857146,0.525447072593497,0.525447072593497,1.9665655066433565
3.0,0.46914285714285714,0.46914285714285714,0.759779970886812,0.759779970886812,0.46914285714285714,0.46914285714285714,0.46914285714285714,0.46914285714285714,0.5256007365635007,0.5256007365635007,1.9644165888224563
4.0,0.4745142857142858,0.4745142857142858,0.7644962111456455,0.7644962111456455,0.4745142857142858,0.4745142857142858,0.4745142857142858,0.4745142857142858,0.5333198741940066,0.5333198741940066,1.9591950288101962
5.0,0.4752714285714285,0.4752714285714285,0.7655520962883788,0.7655520962883788,0.4752714285714285,0.4752714285714285,0.4752714285714285,0.4752714285714285,0.5343853548029628,0.5343853548029628,1.957973588438339
6.0,0.47697142857142855,0.47697142857142855,0.7786900938811534,0.7786900938811534,0.47697142857142855,0.47697142857142855,0.47697142857142855,0.47697142857142855,0.5367399457961464,0.5367399457961464,1.9557337125142418
7.0,0.4772,0.4772,0.789153710436708,0.7891537104367078,0.4772,0.4772,0.4772,0.4772,0.540154362016581,0.5401543620165811,1.9552644530387773
8.0,0.4826714285714286,0.4826714285714286,0.7947156277648353,0.7947156277648353,0.4826714285714286,0.4826714285714286,0.4826714285714286,0.4826714285714286,0.5451375983825485,0.5451375983825485,1.9498257454127483
9.0,0.48138571428571425,0.48138571428571425,0.7967348423016485,0.7967348423016485,0.48138571428571425,0.48138571428571425,0.48138571428571425,0.48138571428571425,0.5457327289129302,0.5457327289129302,1.951914887014589
10.0,0.48645714285714287,0.48645714285714287,0.8021901762155897,0.8021901762155899,0.48645714285714287,0.48645714285714287,0.48645714285714287,0.48645714285714287,0.5514632554553802,0.5514632554553801,1.9462431507023503
11.0,0.48647142857142855,0.48647142857142855,0.8071021215635664,0.8071021215635665,0.48647142857142855,0.48647142857142855,0.48647142857142855,0.48647142857142855,0.5519363008841937,0.5519363008841935,1.9458194646661142
12.0,0.48929999999999996,0.48929999999999996,0.8036808986223457,0.8036808986223457,0.48929999999999996,0.48929999999999996,0.48929999999999996,0.48929999999999996,0.5551947154428403,0.5551947154428403,1.9441390366314752
13.0,0.48958571428571424,0.48958571428571424,0.808529579551797,0.808529579551797,0.48958571428571424,0.48958571428571424,0.48958571428571424,0.48958571428571424,0.5564953438391147,0.5564953438391147,1.9428950223748545
14.0,0.49067142857142854,0.49067142857142854,0.8103051673830081,0.8103051673830081,0.49067142857142854,0.49067142857142854,0.49067142857142854,0.49067142857142854,0.5571844153767083,0.5571844153767083,1.9415820372159078
15.0,0.49367142857142854,0.49367142857142854,0.808478626481614,0.8084786264816142,0.49367142857142854,0.49367142857142854,0.49367142857142854,0.49367142857142854,0.5603315087562535,0.5603315087562534,1.9391194676699706
16.0,0.49415714285714285,0.49415714285714285,0.8152996499778651,0.8152996499778652,0.49415714285714285,0.49415714285714285,0.49415714285714285,0.49415714285714285,0.5614894612549828,0.5614894612549828,1.9373450510033734
17.0,0.4919428571428571,0.4919428571428571,0.8155894981796609,0.8155894981796609,0.4919428571428571,0.4919428571428571,0.4919428571428571,0.4919428571428571,0.5594710878738133,0.5594710878738134,1.9400140306176659
