Epoch,Accuracy,Precision (micro),Precision (macro),Precision (weighted),Recall (micro),Recall (macro),Recall (weighted),F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.5016,0.5016,0.5098112915255877,0.5098112915255877,0.5016,0.5016,0.5016,0.5016,0.48121831756812705,0.48121831756812694,1.3065661842420222
1.0,0.5716714285714285,0.5716714285714285,0.5683736077612849,0.5683736077612849,0.5716714285714285,0.5716714285714286,0.5716714285714285,0.5716714285714285,0.5535231801021648,0.5535231801021648,1.136155988201159
2.0,0.5957428571428571,0.5957428571428571,0.603453478499849,0.603453478499849,0.5957428571428571,0.5957428571428571,0.5957428571428571,0.5957428571428571,0.5785674239845768,0.5785674239845768,1.0615666080827582
3.0,0.6175285714285714,0.6175285714285714,0.6138232826859862,0.6138232826859862,0.6175285714285714,0.6175285714285714,0.6175285714285714,0.6175285714285714,0.6011361482891157,0.6011361482891157,1.0137322637044133
4.0,0.6345285714285714,0.6345285714285714,0.6364647544637189,0.6364647544637189,0.6345285714285714,0.6345285714285714,0.6345285714285714,0.6345285714285714,0.6251808629533,0.6251808629533,0.9642217895211695
5.0,0.6441142857142858,0.6441142857142858,0.6458256714742945,0.6458256714742945,0.6441142857142858,0.6441142857142858,0.6441142857142858,0.6441142857142858,0.6341732116968704,0.6341732116968704,0.939096830914554
6.0,0.6535714285714287,0.6535714285714287,0.653650768185585,0.653650768185585,0.6535714285714287,0.6535714285714287,0.6535714285714287,0.6535714285714287,0.645218648877323,0.645218648877323,0.9154816558916276
7.0,0.6535571428571428,0.6535571428571428,0.6580880545525755,0.6580880545525756,0.6535571428571428,0.6535571428571428,0.6535571428571428,0.6535571428571428,0.6442738597437409,0.6442738597437409,0.9131267234614995
8.0,0.6581857142857143,0.6581857142857143,0.6659924779972167,0.6659924779972167,0.6581857142857143,0.6581857142857143,0.6581857142857143,0.6581857142857143,0.6470670530571739,0.6470670530571739,0.892630705550381
9.0,0.6736285714285714,0.6736285714285714,0.6726108245975734,0.6726108245975734,0.6736285714285714,0.6736285714285714,0.6736285714285714,0.6736285714285714,0.6692197241638459,0.6692197241638459,0.8599931166596608
10.0,0.6721428571428572,0.6721428571428572,0.674724021761952,0.674724021761952,0.6721428571428572,0.6721428571428572,0.6721428571428572,0.6721428571428572,0.6634583244546806,0.6634583244546803,0.8558347463063454
