Epoch,Accuracy,F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.05084999999999999,0.05084999999999999,0.02598316581025354,0.02598316581025354,4.287423964510573
1.0,0.07385,0.07385,0.04964443179914281,0.04964443179914282,4.076868607642803
2.0,0.09551666666666667,0.09551666666666667,0.07265524152081916,0.07265524152081915,3.93910136882295
3.0,0.10773333333333332,0.10773333333333332,0.08425215591668826,0.08425215591668826,3.865476132453756
4.0,0.11906666666666665,0.11906666666666665,0.09760336029274184,0.09760336029274186,3.7918607757446616
5.0,0.12490000000000001,0.12490000000000001,0.10385342192690314,0.10385342192690314,3.763013998751945
6.0,0.13363333333333335,0.13363333333333335,0.11221196620528877,0.11221196620528877,3.706833678864418
7.0,0.13728333333333334,0.13728333333333334,0.11591560381079476,0.11591560381079476,3.69587652531076
8.0,0.14096666666666668,0.14096666666666668,0.12189076457573503,0.12189076457573503,3.670585892048288
9.0,0.14378333333333332,0.14378333333333332,0.12330528190857248,0.12330528190857248,3.651188815654592
10.0,0.14554999999999998,0.14554999999999998,0.12785411644118722,0.12785411644118722,3.639494214413014
11.0,0.14679999999999999,0.14679999999999999,0.12815641122444715,0.12815641122444718,3.628870713457148
12.0,0.15076666666666666,0.15076666666666666,0.13234215951714956,0.13234215951714956,3.609925237361421
13.0,0.15393333333333334,0.15393333333333334,0.13409609655211122,0.13409609655211124,3.5976668010366724
14.0,0.15423333333333336,0.15423333333333336,0.13482205379698517,0.13482205379698517,3.589872546906167
15.0,0.15818333333333334,0.15818333333333334,0.14156886045767508,0.1415688604576751,3.56840668307974
16.0,0.1590666666666667,0.1590666666666667,0.14290243744360137,0.14290243744360134,3.5638880519156766
17.0,0.16036666666666669,0.16036666666666669,0.14122649942192314,0.14122649942192317,3.561087997669869
18.0,0.1636,0.1636,0.14494521047494452,0.14494521047494452,3.5465688735880745
19.0,0.1618,0.1618,0.14407185805190292,0.14407185805190292,3.5540196393398533
20.0,0.16336666666666666,0.16336666666666666,0.1462181724921735,0.1462181724921735,3.5544514486130248
21.0,0.16638333333333333,0.16638333333333333,0.15032112271825757,0.15032112271825757,3.5283690741721623
22.0,0.16811666666666664,0.16811666666666664,0.15209289131057624,0.15209289131057627,3.5278603802336024
23.0,0.1665,0.1665,0.14861369182347445,0.14861369182347445,3.5281183696807696
24.0,0.16633333333333333,0.16633333333333333,0.14971257724294484,0.14971257724294482,3.5194465025942376
25.0,0.16741666666666669,0.16741666666666669,0.15047282950944071,0.15047282950944071,3.518289441504377
26.0,0.17011666666666667,0.17011666666666667,0.1550759902441321,0.15507599024413213,3.504416636203198
27.0,0.17131666666666664,0.17131666666666664,0.1546925257113658,0.1546925257113658,3.502437843414063
28.0,0.16888333333333333,0.16888333333333333,0.15133500630044688,0.1513350063004469,3.5145588846916844
29.0,0.16968333333333332,0.16968333333333332,0.15330288679554088,0.1533028867955409,3.504699808739601
30.0,0.17058333333333336,0.17058333333333336,0.154950637063366,0.154950637063366,3.5033364151386506
31.0,0.17171666666666668,0.17171666666666668,0.15424257306149097,0.15424257306149092,3.4965109127633114
32.0,0.17495,0.17495000000000002,0.15716300721852489,0.15716300721852489,3.4846600590868193
33.0,0.17356666666666667,0.17356666666666667,0.1571492016535454,0.15714920165354543,3.4899661721067226
34.0,0.17321666666666669,0.17321666666666669,0.1566844258510706,0.1566844258510706,3.4924064225338873
35.0,0.17411666666666664,0.17411666666666664,0.15660024378992438,0.15660024378992438,3.485926694565631
36.0,0.17750000000000002,0.17750000000000002,0.16132177786620622,0.16132177786620622,3.472183294245537
37.0,0.17646666666666663,0.1764666666666667,0.15957339995604386,0.15957339995604386,3.475848969753753
38.0,0.17784999999999998,0.17784999999999998,0.16169038340744155,0.1616903834074416,3.471760679052231
39.0,0.17821666666666666,0.17821666666666666,0.16309876291628123,0.16309876291628123,3.4674655845824702
40.0,0.17928333333333332,0.17928333333333332,0.16540046795312643,0.1654004679531265,3.462595492728213
41.0,0.1756666666666667,0.1756666666666667,0.15918969515195439,0.15918969515195439,3.472606066947288
42.0,0.1799333333333333,0.1799333333333333,0.16392734588879346,0.16392734588879346,3.458559649802269
43.0,0.18081666666666668,0.18081666666666668,0.1645061782451881,0.16450617824518812,3.4502455926956017
44.0,0.17776666666666668,0.17776666666666668,0.16325815382263947,0.16325815382263947,3.4650900257394666
45.0,0.18105,0.18105,0.16695847900597474,0.1669584790059747,3.45829712710482
46.0,0.18011666666666665,0.18011666666666665,0.16375933342783083,0.16375933342783083,3.460216719038943
47.0,0.18016666666666667,0.18016666666666667,0.16259471637571382,0.16259471637571385,3.45994711099787
48.0,0.17865,0.17865,0.1624303141095282,0.1624303141095282,3.4573227976230867
49.0,0.18181666666666665,0.18181666666666665,0.16724979575939267,0.16724979575939267,3.44855976054009
50.0,0.183,0.183,0.16874114104502855,0.16874114104502855,3.4470302130313626
51.0,0.18296666666666667,0.18296666666666667,0.16633068864393397,0.16633068864393397,3.454304674077542
52.0,0.18273333333333333,0.18273333333333333,0.16632394871094164,0.16632394871094164,3.450248743625397
53.0,0.1852666666666667,0.1852666666666667,0.16944127721363453,0.16944127721363453,3.43912510491432
54.0,0.18463333333333332,0.18463333333333334,0.1692052755265483,0.1692052755265483,3.439203989252131
55.0,0.18214999999999998,0.18214999999999998,0.16844150379319758,0.1684415037931976,3.452392030776815
56.0,0.18428333333333335,0.18428333333333335,0.16856234091337202,0.16856234091337202,3.4353718296010443
57.0,0.1835,0.1835,0.16928491631232348,0.16928491631232345,3.442001664131246
58.0,0.18478333333333335,0.18478333333333335,0.16968365032440347,0.16968365032440347,3.4365080009115507
59.0,0.18606666666666666,0.18606666666666666,0.17243506771586586,0.17243506771586586,3.440486912270809
60.0,0.18436666666666665,0.18436666666666668,0.16968046165553988,0.1696804616555399,3.442638750025567
61.0,0.18661666666666665,0.18661666666666665,0.1731156574554516,0.1731156574554516,3.427401024990894
62.0,0.18561666666666668,0.18561666666666668,0.1719384106677465,0.17193841066774654,3.4403327076993087
63.0,0.18456666666666663,0.18456666666666668,0.17273583887820168,0.1727358388782017,3.4386711726797388
64.0,0.18726666666666666,0.1872666666666667,0.1710566838476813,0.1710566838476813,3.4270895960483143
65.0,0.18578333333333333,0.1857833333333333,0.1705722066757029,0.17057220667570294,3.4325268468958265
66.0,0.18705000000000002,0.18705000000000002,0.17255870278056562,0.1725587027805656,3.4255294092158053
67.0,0.18743333333333334,0.18743333333333334,0.17307922007589643,0.1730792200758964,3.4283696704722466
68.0,0.18625,0.18625,0.17115411999204083,0.17115411999204083,3.4385498498348475
69.0,0.1888,0.1888,0.1734585886609983,0.17345858866099828,3.4231620324418897
70.0,0.18793333333333334,0.18793333333333334,0.17347531114257858,0.17347531114257855,3.4284643081908532
71.0,0.18641666666666665,0.18641666666666665,0.17338348349741636,0.1733834834974164,3.4395278638981757
72.0,0.18901666666666667,0.18901666666666667,0.1737580795710919,0.17375807957109193,3.433407698032704
73.0,0.18845,0.18845,0.17403228426549117,0.17403228426549114,3.4366053827265475
74.0,0.18936666666666666,0.18936666666666666,0.17352916287549477,0.17352916287549483,3.429939988065273
75.0,0.18838333333333332,0.18838333333333332,0.17502865696264575,0.1750286569626458,3.4257733832014368
76.0,0.1877166666666667,0.1877166666666667,0.17281050821990607,0.1728105082199061,3.4226546003463425
77.0,0.18888333333333335,0.18888333333333335,0.1756119303138469,0.1756119303138469,3.4321334506602996
78.0,0.1895,0.1895,0.17623505567849673,0.1762350556784968,3.4296631001411604
79.0,0.18913333333333332,0.18913333333333332,0.17426356150681013,0.17426356150681013,3.4286529353324395
80.0,0.19076666666666667,0.19076666666666664,0.17695567575031515,0.1769556757503151,3.4173379910753128
81.0,0.19126666666666664,0.19126666666666664,0.17536494506970338,0.17536494506970338,3.4176231559286725
82.0,0.18941666666666668,0.18941666666666665,0.177364254487557,0.17736425448755697,3.4217616284147225
83.0,0.18953333333333333,0.18953333333333333,0.17778164079044928,0.17778164079044928,3.423626490095829
84.0,0.19075,0.19075,0.17610834315298166,0.17610834315298168,3.421514212831538
85.0,0.1913166666666667,0.1913166666666667,0.1783504966865814,0.1783504966865814,3.417279845349332
86.0,0.18905,0.18905,0.17644083925328996,0.17644083925329,3.42157345629753
87.0,0.19146666666666667,0.19146666666666667,0.17744159751268876,0.17744159751268876,3.4260380123523952
88.0,0.19291666666666668,0.19291666666666668,0.17870028951622918,0.1787002895162292,3.4186525464057924
89.0,0.19225,0.19225,0.178061507081903,0.178061507081903,3.4197961890951114
