Epoch,Accuracy,Precision (micro),Precision (macro),Precision (weighted),Recall (micro),Recall (macro),Recall (weighted),F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.023983333333333336,0.023983333333333336,0.007094390205740939,0.00709439020574094,0.023983333333333336,0.023983333333333336,0.023983333333333336,0.023983333333333336,0.006042751485704187,0.006042751485704187,4.487294135702418
1.0,0.06238333333333333,0.06238333333333333,0.045392862220863375,0.045392862220863375,0.06238333333333333,0.06238333333333333,0.06238333333333333,0.06238333333333333,0.0318079182304387,0.03180791823043871,4.185812301331379
2.0,0.101,0.101,0.0931123877622299,0.0931123877622299,0.101,0.10099999999999998,0.101,0.101,0.07322146530322224,0.07322146530322222,3.9223185577291124
3.0,0.11931666666666667,0.11931666666666667,0.11216275609134155,0.11216275609134155,0.11931666666666667,0.11931666666666667,0.11931666666666667,0.11931666666666667,0.09027009784629467,0.09027009784629467,3.809117883063377
4.0,0.1343,0.1343,0.12950804628324714,0.12950804628324714,0.1343,0.1343,0.1343,0.1343,0.1080266113682619,0.10802661136826189,3.731709920599106
5.0,0.14431666666666665,0.14431666666666665,0.13943493099907356,0.1394349309990736,0.14431666666666665,0.1443166666666667,0.14431666666666665,0.14431666666666665,0.11569592961497313,0.11569592961497314,3.6684925817428757
6.0,0.15023333333333336,0.15023333333333336,0.15599265704354587,0.15599265704354587,0.15023333333333336,0.15023333333333336,0.15023333333333336,0.15023333333333336,0.12554774990548917,0.12554774990548917,3.630344030197631
7.0,0.15506666666666669,0.15506666666666669,0.1622568743759259,0.1622568743759259,0.15506666666666669,0.15506666666666666,0.15506666666666669,0.15506666666666669,0.1310030035656528,0.1310030035656528,3.6052334990907227
8.0,0.16138333333333332,0.16138333333333332,0.16028012100973923,0.1602801210097392,0.16138333333333332,0.1613833333333333,0.16138333333333332,0.16138333333333332,0.13860730816724667,0.13860730816724665,3.565293831774529
9.0,0.16821666666666665,0.16821666666666665,0.16906348390778542,0.16906348390778542,0.16821666666666665,0.16821666666666668,0.16821666666666665,0.16821666666666665,0.1437634941686031,0.14376349416860312,3.5307594872535546
10.0,0.1729,0.1729,0.17879547605512425,0.17879547605512425,0.1729,0.1729,0.1729,0.1729,0.14963798811267154,0.14963798811267154,3.501415901742083
11.0,0.17709999999999998,0.17709999999999998,0.18327603962576652,0.1832760396257665,0.17709999999999998,0.17709999999999998,0.17709999999999998,0.17709999999999998,0.15518743032425072,0.15518743032425072,3.4783418751777484
12.0,0.17981666666666668,0.17981666666666668,0.19171715744505816,0.19171715744505816,0.17981666666666668,0.17981666666666665,0.17981666666666668,0.17981666666666668,0.1585613140670908,0.15856131406709081,3.46404874603799
13.0,0.18328333333333333,0.18328333333333333,0.18827161778181284,0.18827161778181284,0.18328333333333333,0.18328333333333333,0.18328333333333333,0.18328333333333333,0.15912431123095563,0.15912431123095563,3.4428988578471733
14.0,0.1897666666666667,0.1897666666666667,0.19668409904044157,0.19668409904044154,0.1897666666666667,0.1897666666666667,0.1897666666666667,0.1897666666666667,0.16914865530407294,0.16914865530407294,3.410516798749883
15.0,0.19381666666666666,0.19381666666666666,0.19603599626665277,0.19603599626665277,0.19381666666666666,0.1938166666666667,0.19381666666666666,0.19381666666666666,0.17076415108898985,0.17076415108898985,3.3838656377285092
16.0,0.1968166666666667,0.1968166666666667,0.2088094025897437,0.2088094025897437,0.1968166666666667,0.19681666666666667,0.1968166666666667,0.1968166666666667,0.17823604261264606,0.17823604261264606,3.367038036660945
17.0,0.20034999999999997,0.20034999999999997,0.20855861709185625,0.20855861709185625,0.20034999999999997,0.20034999999999997,0.20034999999999997,0.20034999999999997,0.18091282039974357,0.1809128203997436,3.352485842907682
18.0,0.20653333333333337,0.20653333333333337,0.21152886799848608,0.21152886799848608,0.20653333333333337,0.20653333333333332,0.20653333333333337,0.20653333333333337,0.18685251640781905,0.18685251640781905,3.3158211692850643
19.0,0.21108333333333335,0.21108333333333335,0.21944346526568032,0.21944346526568032,0.21108333333333335,0.21108333333333335,0.21108333333333335,0.21108333333333335,0.19321476822379396,0.19321476822379396,3.300924842662
20.0,0.21131666666666668,0.21131666666666668,0.2177529605042706,0.21775296050427065,0.21131666666666668,0.21131666666666665,0.21131666666666668,0.21131666666666665,0.19266342044062176,0.19266342044062176,3.2842396241553287
21.0,0.2132166666666667,0.2132166666666667,0.22124148182786318,0.22124148182786313,0.2132166666666667,0.21321666666666667,0.2132166666666667,0.2132166666666667,0.19261413869760075,0.1926141386976008,3.2893442902159187
22.0,0.2149166666666667,0.2149166666666667,0.22359506181888186,0.22359506181888192,0.2149166666666667,0.2149166666666667,0.2149166666666667,0.2149166666666667,0.19459499240838224,0.19459499240838227,3.261935658911441
23.0,0.22013333333333335,0.22013333333333335,0.22600349594986274,0.22600349594986274,0.22013333333333335,0.22013333333333335,0.22013333333333335,0.22013333333333335,0.2013308153750577,0.2013308153750577,3.241155377601055
24.0,0.22223333333333334,0.22223333333333334,0.23058247211804597,0.23058247211804597,0.22223333333333334,0.22223333333333334,0.22223333333333334,0.22223333333333334,0.20303373802865243,0.20303373802865243,3.228680707038717
25.0,0.22166666666666668,0.22166666666666668,0.23257035886300442,0.23257035886300442,0.22166666666666668,0.22166666666666662,0.22166666666666668,0.22166666666666668,0.20310521169396645,0.2031052116939665,3.234386558735624
26.0,0.22286666666666669,0.22286666666666669,0.23849251664408921,0.23849251664408916,0.22286666666666669,0.22286666666666669,0.22286666666666669,0.22286666666666669,0.2074545462379036,0.20745454623790355,3.2211534279458065
27.0,0.22714999999999996,0.22714999999999996,0.2409042468418427,0.2409042468418427,0.22714999999999996,0.22714999999999996,0.22714999999999996,0.22714999999999996,0.2104062214157806,0.21040622141578055,3.2072714521529826
28.0,0.23101666666666665,0.23101666666666665,0.24040689701726486,0.2404068970172649,0.23101666666666665,0.23101666666666665,0.23101666666666665,0.23101666666666665,0.21410992298267417,0.21410992298267417,3.186826614877011
29.0,0.22915000000000002,0.22915000000000002,0.24040316839712988,0.24040316839712988,0.22915000000000002,0.22914999999999996,0.22915000000000002,0.22915000000000002,0.21165316227355718,0.21165316227355718,3.1960404946448953
30.0,0.23308333333333336,0.23308333333333336,0.24269750164378362,0.24269750164378362,0.23308333333333336,0.23308333333333336,0.23308333333333336,0.23308333333333336,0.21668901157060647,0.21668901157060644,3.178526195059431
31.0,0.23583333333333334,0.23583333333333334,0.24354440064757193,0.24354440064757193,0.23583333333333334,0.23583333333333334,0.23583333333333334,0.23583333333333334,0.21850705038080878,0.2185070503808088,3.1566231755500143
32.0,0.23718333333333336,0.23718333333333336,0.2517220857814627,0.2517220857814627,0.23718333333333336,0.2371833333333333,0.23718333333333336,0.23718333333333336,0.22287995406499211,0.22287995406499211,3.150410294532776
33.0,0.2381666666666667,0.2381666666666667,0.24609875550624444,0.24609875550624444,0.2381666666666667,0.2381666666666667,0.2381666666666667,0.2381666666666667,0.21973912996898443,0.21973912996898445,3.1573454826436147
34.0,0.24356666666666665,0.24356666666666665,0.25048227248013083,0.2504822724801308,0.24356666666666665,0.24356666666666665,0.24356666666666665,0.2435666666666667,0.22669573522290193,0.2266957352229019,3.12913362497979
